run,tempo,instancia, tipo, valor, algoritmo
10,0.001,kqbf020,qualidade,133.0,ga
1,0.001,kqbf020,qualidade,114.0,ga
2,0.001,kqbf020,qualidade,116.0,ga
3,0.001,kqbf020,qualidade,100.0,ga
4,0.001,kqbf020,qualidade,128.0,ga
5,0.001,kqbf020,qualidade,98.0,ga
6,0.001,kqbf020,qualidade,48.0,ga
7,0.001,kqbf020,qualidade,119.0,ga
8,0.001,kqbf020,qualidade,89.0,ga
9,0.001,kqbf020,qualidade,103.0,ga
10,0.001,kqbf020,qualidade,102.0,ga
1,0.001,kqbf020,qualidade,109.00,ga
2,0.001,kqbf020,qualidade,99.00,ga
3,0.001,kqbf020,qualidade,135.00,ga
4,0.001,kqbf020,qualidade,147.00,ga
5,0.001,kqbf020,qualidade,88.00,ga
6,0.001,kqbf020,qualidade,125.00,ga
7,0.001,kqbf020,qualidade,81.00,ga
8,0.001,kqbf020,qualidade,52.00,ga
9,0.001,kqbf020,qualidade,113.00,ga
10,0.001,kqbf020,qualidade,82.00,ga
1,0.001,kqbf040,qualidade,167.00,ga
2,0.001,kqbf040,qualidade,221.00,ga
3,0.001,kqbf040,qualidade,179.00,ga
4,0.001,kqbf040,qualidade,105.00,ga
5,0.001,kqbf040,qualidade,37.00,ga
6,0.001,kqbf040,qualidade,249.00,ga
7,0.001,kqbf040,qualidade,162.00,ga
8,0.001,kqbf040,qualidade,183.00,ga
9,0.001,kqbf040,qualidade,176.00,ga
10,0.001,kqbf040,qualidade,177.00,ga
1,0.001,kqbf060,qualidade,405.00,ga
2,0.001,kqbf060,qualidade,340.00,ga
3,0.001,kqbf060,qualidade,296.00,ga
4,0.001,kqbf060,qualidade,397.00,ga
5,0.001,kqbf060,qualidade,228.00,ga
6,0.001,kqbf060,qualidade,282.00,ga
7,0.001,kqbf060,qualidade,316.00,ga
8,0.001,kqbf060,qualidade,128.00,ga
9,0.001,kqbf060,qualidade,346.00,ga
10,0.001,kqbf060,qualidade,225.00,ga
1,0.001,kqbf080,qualidade,194.000,ga
2,0.001,kqbf080,qualidade,270.000,ga
3,0.001,kqbf080,qualidade,435.000,ga
4,0.001,kqbf080,qualidade,542.000,ga
5,0.001,kqbf080,qualidade,602.000,ga
6,0.001,kqbf080,qualidade,724.000,ga
7,0.001,kqbf080,qualidade,553.000,ga
8,0.001,kqbf080,qualidade,422.000,ga
9,0.001,kqbf080,qualidade,371.000,ga
10,0.001,kqbf080,qualidade,373.000,ga
1,0.001,kqbf100,qualidade,409.000,ga
2,0.001,kqbf100,qualidade,404.000,ga
3,0.001,kqbf100,qualidade,179.000,ga
4,0.001,kqbf100,qualidade,501.000,ga
5,0.001,kqbf100,qualidade,379.000,ga
6,0.001,kqbf100,qualidade,539.000,ga
7,0.001,kqbf100,qualidade,170.000,ga
8,0.001,kqbf100,qualidade,443.000,ga
9,0.001,kqbf100,qualidade,424.000,ga
10,0.001,kqbf100,qualidade,215.000,ga
1,0.001,kqbf200,qualidade,1666.000000,ga
2,0.001,kqbf200,qualidade,1559.000000,ga
3,0.001,kqbf200,qualidade,2046.000000,ga
4,0.001,kqbf200,qualidade,2061.000000,ga
5,0.001,kqbf200,qualidade,2014.000000,ga
6,0.001,kqbf200,qualidade,2166.000000,ga
7,0.001,kqbf200,qualidade,573.000000,ga
8,0.001,kqbf200,qualidade,2348.000000,ga
9,0.001,kqbf200,qualidade,2093.000000,ga
10,0.001,kqbf200,qualidade,941.000000,ga
1,kqbf020,0.0001,convergencia,88.0,ga
2,kqbf020,0.0001,convergencia,117.0,ga
3,kqbf020,0.0001,convergencia,51.0,ga
4,kqbf020,0.0001,convergencia,59.0,ga
5,kqbf020,0.0001,convergencia,45.0,ga
6,kqbf020,0.0001,convergencia,76.0,ga
7,kqbf020,0.0001,convergencia,52.0,ga
8,kqbf020,0.0001,convergencia,134.0,ga
9,kqbf020,0.0001,convergencia,97.0,ga
10,kqbf020,0.0001,convergencia,84.0,ga
1,kqbf040,0.003,convergencia,288.0,ga
2,kqbf040,0.003,convergencia,222.0,ga
3,kqbf040,0.003,convergencia,249.0,ga
4,kqbf040,0.003,convergencia,123.0,ga
5,kqbf040,0.003,convergencia,337.0,ga
6,kqbf040,0.003,convergencia,148.0,ga
7,kqbf040,0.003,convergencia,282.0,ga
8,kqbf040,0.003,convergencia,54.0,ga
9,kqbf040,0.003,convergencia,205.0,ga
10,kqbf040,0.003,convergencia,147.0,ga
1,kqbf060,0.007,convergencia,355.0,ga
2,kqbf060,0.007,convergencia,469.0,ga
3,kqbf060,0.007,convergencia,289.0,ga
4,kqbf060,0.007,convergencia,457.0,ga
5,kqbf060,0.007,convergencia,507.0,ga
6,kqbf060,0.007,convergencia,297.0,ga
7,kqbf060,0.007,convergencia,423.0,ga
8,kqbf060,0.007,convergencia,169.0,ga
9,kqbf060,0.007,convergencia,336.0,ga
10,kqbf060,0.007,convergencia,633.0,ga
1,kqbf080,0.01,convergencia,447.0,ga
2,kqbf080,0.01,convergencia,487.0,ga
3,kqbf080,0.01,convergencia,461.0,ga
4,kqbf080,0.01,convergencia,560.0,ga
5,kqbf080,0.01,convergencia,618.0,ga
6,kqbf080,0.01,convergencia,513.0,ga
7,kqbf080,0.01,convergencia,459.0,ga
8,kqbf080,0.01,convergencia,480.0,ga
9,kqbf080,0.01,convergencia,680.0,ga
10,kqbf080,0.01,convergencia,359.0,ga
1,kqbf100,0.1,convergencia,722.0,ga
2,kqbf100,0.1,convergencia,688.0,ga
3,kqbf100,0.1,convergencia,659.0,ga
4,kqbf100,0.1,convergencia,722.0,ga
5,kqbf100,0.1,convergencia,813.0,ga
6,kqbf100,0.1,convergencia,621.0,ga
7,kqbf100,0.1,convergencia,646.0,ga
8,kqbf100,0.1,convergencia,478.0,ga
9,kqbf100,0.1,convergencia,808.0,ga
10,kqbf100,0.1,convergencia,716.0,ga
1,kqbf020,0.0009,robustez,129.0,ga
2,kqbf020,0.0009,robustez,141.0,ga
3,kqbf020,0.0009,robustez,73.0,ga
4,kqbf020,0.0009,robustez,147.0,ga
5,kqbf020,0.0009,robustez,141.0,ga
6,kqbf020,0.0009,robustez,148.0,ga
7,kqbf020,0.0009,robustez,148.0,ga
8,kqbf020,0.0009,robustez,131.0,ga
9,kqbf020,0.0009,robustez,139.0,ga
10,kqbf020,0.0009,robustez,149.0,ga
1,kqbf040,0.008,robustez,204.0,ga
2,kqbf040,0.008,robustez,319.0,ga
3,kqbf040,0.008,robustez,284.0,ga
4,kqbf040,0.008,robustez,217.0,ga
5,kqbf040,0.008,robustez,222.0,ga
6,kqbf040,0.008,robustez,309.0,ga
7,kqbf040,0.008,robustez,254.0,ga
8,kqbf040,0.008,robustez,267.0,ga
9,kqbf040,0.008,robustez,166.0,ga
10,kqbf040,0.008,robustez,96.0,ga
1,kqbf060,0.009,robustez,211.0,ga
2,kqbf060,0.009,robustez,497.0,ga
3,kqbf060,0.009,robustez,292.0,ga
4,kqbf060,0.009,robustez,557.0,ga
5,kqbf060,0.009,robustez,295.0,ga
6,kqbf060,0.009,robustez,516.0,ga
7,kqbf060,0.009,robustez,239.0,ga
8,kqbf060,0.009,robustez,583.0,ga
9,kqbf060,0.009,robustez,448.0,ga
10,kqbf060,0.009,robustez,591.0,ga
1,kqbf080,0.2,robustez,882.0,ga
2,kqbf080,0.2,robustez,655.0,ga
3,kqbf080,0.2,robustez,820.0,ga
4,kqbf080,0.2,robustez,665.0,ga
5,kqbf080,0.2,robustez,1034.0,ga
6,kqbf080,0.2,robustez,901.0,ga
7,kqbf080,0.2,robustez,669.0,ga
8,kqbf080,0.2,robustez,940.0,ga
9,kqbf080,0.2,robustez,1068.0,ga
10,kqbf080,0.2,robustez,609.0,ga
1,kqbf100,0.5,robustez,904.0,ga
2,kqbf100,0.5,robustez,1202.0,ga
3,kqbf100,0.5,robustez,948.0,ga
4,kqbf100,0.5,robustez,990.0,ga
5,kqbf100,0.5,robustez,958.0,ga
6,kqbf100,0.5,robustez,1033.0,ga
7,kqbf100,0.5,robustez,768.0,ga
8,kqbf100,0.5,robustez,913.0,ga
9,kqbf100,0.5,robustez,729.0,ga
10,kqbf100,0.5,robustez,717.0,ga
